job_position_name,skills,positions,responsibilities,responsibilities.1,skills_required,educationaL_requirements,experiencere_requirement,locations,matched_score
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)","['budget', 'hardware', 'network systems', 'database', 'Dec', 'documentation', 'inspection', 'logistics', 'meetings', 'MS Excel', 'Microsoft Office', 'Outlook', 'PowerPoint', 'network', 'networking', 'Operating Systems', 'Oracle', 'personnel', 'presentations', 'progress', 'quality', 'Maintain documentation', 'routers', 'safety', 'scheduling', 'shipping', 'spreadsheets', 'supervision']","['Engineering Technician', 'Consultant', 'Engineering Technician', 'Manufacturing Lead']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",Bachelor/Honors,4 to 5 years,"['City, State', 'City, State', 'City, State', 'City, State']",0.85
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","['Artificial Intelligence', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow Keras', 'Scikit learn', 'Numpy', 'Pandas', 'Matplotlib']",['Analyst Intern'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",Master of Business Administration (MBA),At least 3 years,['N/A'],0.626666667
Project Coordinator (Civil),"['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']","['Android Developer Intern', 'Android Developer Intern']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,"['San Jose, CA', 'Milpitas, CA']",0.333333333
Executive/ Sr. Executive -IT,"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']",['Junior Machine Learning And Deep Learning Engineer'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,['N/A'],0.65
Mechanical Engineer,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']","['Senior Accountant', 'Accountant', 'Financial Analyst']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical","Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,"['City , State', 'City , State', 'City , State']",0.2166666666666666
Network Support Engineer,"['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['Engineering Technician', 'Senior Engineering Technician', 'Engineering Technician']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU","Diploma, Bachelor/Honors",At least 3 years,"['City , State', 'City , State', 'City , State']",0.85
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['SOFTWARE ENGINEER - MACHINE LEARNING'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",Master of Business Administration (MBA),At least 3 years,['N/A'],0.65
Intern (Generative AI Engineering - 2D/3D Image Generation),"['Material Management', 'Law Enforcement', 'mechanical test equipment', ""PC's"", 'MS Office', '10key by touch', 'Customer Service', 'Forklift and Crane Certification', 'Self-motivation', 'Leadership', 'NDT Level II', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'ISO 9001', 'Machinery', 'materials', 'mechanical', 'personnel', 'processes', 'Procurement', 'programming', 'progress', 'quality', 'Quality Control', 'Receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'Supervisor', 'Test Equipment', 'Troubleshooting', 'written', 'articles']","['Equipment Engineering Technician', 'Mechanical Technician', 'Operating Engineer / Test Technician', 'Logistics Coordinator / Sr. Lab Technician', 'Production Control Analyst', 'Material/Production Planner']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Bachelor of Science (BSc),,"['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']",0.85
Executive - VAT,"['Data Analysis', 'Business Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'NLP', 'Credit Risk', 'Tableau', 'Statistical Analysis', 'Data Visualization', 'Data Science', 'R', 'Power Bi']",['Jr. Data Scientist'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,BBA in Accounting and Finance,1 to 3 years,[None],0.65
Mechanical Engineer,"['HTML', 'CSS', 'JavaScript (Angular)', 'Python', 'Git', 'Algorithm Design', 'Technical Writing', 'Data Analysis', 'Interpersonal Communication', 'Patience']","['Computer Science Teacher', 'Software Engineer', 'Junior Software Engineer']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical","Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,"['Princeton, NJ', 'Remote', 'Cherry Hill, NJ']",0.65
Sr.Officer / Executive - Internal Audit,"['Econometrics', 'Problem Solving', 'Data Analytics', 'Data Modeling', 'Data Validation', 'Data Reporting', 'Business Intelligence', 'Data Manipulation', 'Data Mining', 'Machine Learning', 'R Programming', 'SQL', 'Oracle', 'Scorecard', 'IFRS']",['Finance Technology Expert'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Having CACC from reputed CA Firm
Internal Audit and Compliance","Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,['N/A'],0.85
Management Trainee - Mechanical,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']",['Software Developer (Machine Learning Engineer)'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,['N/A'],0.596666667
Machine Learning (ML) Engineer,"['API', 'Approach', 'ATL', 'audio', 'backup', 'broadcast', 'C++', 'CLI', 'com', 'CA', 'Hardware', 'concept', 'Content', 'clients', 'documentation', 'dynamic HTML5', 'editing', 'XML', 'FTP', 'functional', 'drawing', 'GUI', 'http', 'IDs', 'Innovation', 'explorer', 'IP', 'JavaScript', 'json', 'LAN', 'MB', 'C#', 'MFC', 'office', 'Win', 'Windows', '2000', 'migration', 'NAS', 'OOP', 'page', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'specification', 'team management', 'threads', 'troubleshoot', 'Video', 'Video Editing', 'Visual C++', 'workflow', 'writer']","['Software Engineering Manager', 'Software Engineering Manager', 'Principal Software Engineer', 'Software Engineer']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),"['City , State', 'City , State', 'City , State', 'City , State']",0.85
AI Engineer,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['Associate Software Engineer and Analyst'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.","Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,['N/A'],0.75
HR Officer,"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['Application Development Associate'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,[None],0.383333333
